"","ID","Location","Attendance","Hours","Minutes","Game Date","Highlights","HOME TEAM","HOME SCORE","HOME TEAM LOSS","HOME TEAM WIn","HOME TEAM Series loss","HOME TEAM Series win","AWAY TEAM","AWAY SCORE","AWAY TEAM LOSS","AWAY TEAM WIn","AWAY TEAM Series loss","AWAY TEAM Series win"
"904",21800941,"Pepsi Center","0","2","19","03-02","Randle: 28 points, 10 rebounds","DEN","112","20","42","1","2","NOP","120","36","29","2","1"
"905",21800942,"Talking Stick Resort Arena","18055","2","24","03-02","Ayton: 26 points, 10 rebounds","PHX","118","51","13","3","0","LAL","109","33","30","0","3"
"906",21800943,"Vivint Smart Home Arena","18306","2","20","03-02","Mitchell: Career-high 46 points","UTA","115","26","36","1","0","MIL","111","15","48","0","1"
"907",21800944,"Spectrum Center","18355","2","13","03-03","Hood: 21 of season-high 27 points in 4th","CHA","108","34","29","1","0","POR","118","24","39","0","1"
"908",21800945,"TD Garden","18624","2","16","03-03","Harden: 42 points | Gordon: 32 points","BOS","104","26","38","1","0","HOU","115","25","38","0","1"
"909",21800946,"United Center","20526","2","13","03-03","Len: 28 points, five 3-pointers","CHI","118","46","18","1","2","ATL","123","42","22","2","1"
"910",21800947,"Staples Center","19068","2","10","03-03","Shamet: 21 points, seven 3-pointers","LAC","128","29","36","0","0","NYK","107","50","13","0","0"
"911",21800948,"Quicken Loans Arena","19432","2","04","03-03","Love: 16 pts, 14 reb | Vucevic: 28 pts, 13 reb","CLE","107","48","16","1","0","ORL","93","35","30","0","1"
"912",21800949,"Little Caesars Arena","19161","2","42","03-03"," Griffin: 27 points | Drummond: 15 pts, 17 reb","DET","112","31","31","0","1","TOR","107","18","46","1","0"
"913",21800950,"Capital One Arena","17869","2","09","03-03","Portis: 26 pts, 12 reb | Beal: 22p/ 8r/ 7a","WAS","135","37","26","0","0","MIN","121","34","29","0","0"
"914",21800951,"Chesapeake Energy Arena","18203","2","12","03-03","Westbrook: 12 of 22 points in final 6:23","OKC","99","24","39","0","1","MEM","95","40","25","1","0"
"915",21800952,"Barclays Center","17064","2","04","03-04","Carroll: 22 points; Russell: 13 pts, 11 ast","BKN","127","33","33","1","0","DAL","88","36","27","0","1"
"916",21800953,"AmericanAirlines Arena","19600","2","13","03-04","Wade: 23 points (14 in fourth quarter)","MIA","114","34","29","3","0","ATL","113","43","22","0","3"
"917",21800954,"AT&T Center","18354","2","06","03-04","DeRozan: 24 points; Aldridge: 22 pts, 9 reb","SAS","104","29","36","1","1","DEN","103","21","42","1","1"
"918",21800955,"Talking Stick Resort Arena","18055","2","22","03-04","Oubre Jr.: 27 pts, 13 reb; Ayton: 19 pts, 12 reb","PHX","114","51","14","0","1","MIL","105","16","48","1","0"
"919",21800956,"Vivint Smart Home Arena","18306","2","12","03-04","Holiday: 30 pts; Davis: 15 pts, 11 reb","UTA","112","27","36","0","1","NOP","115","36","30","1","0"
"920",21800957,"Golden 1 Center","17034","2","18","03-04","Hield: 28 points; Barnes: 22 pts, 10 reb","SAC","115","31","32","0","0","NYK","108","51","13","0","0"
"921",21800958,"Staples Center","18997","2","14","03-04","Gallinari: 23 points; Beverley: 13 pts, 9 reb, 5 stl","LAL","105","34","30","1","1","LAC","113","29","37","1","1"
"922",21800959,"Bankers Life Fieldhouse","15753","2","14","03-05","Turner: 10 points, 11 rebounds, 7 blocks","IND","105","23","42","0","3","CHI","96","47","18","3","0"
"923",21800960,"Wells Fargo Center","20379","2","04","03-05","Simmons: 16 points, 13 rebounds, 8 assists","PHI","114","23","41","1","1","ORL","106","36","30","1","1"
"924",21800961,"Scotiabank Arena","19800","2","12","03-05","Harden: 19 of 35 points in 4th quarter","TOR","95","19","46","1","0","HOU","107","25","39","0","1"
"925",21800962,"FedExForum","13801","2","17","03-05","Conley: Career-high 40 points","MEM","120","40","26","1","1","POR","111","25","39","1","1"
"926",21800963,"Target Center","15728","2","14","03-05","Towns: 41 points, 14 rebounds","MIN","131","34","30","0","2","OKC","120","25","39","2","0"
